id,name,type,category,pp,power,accuracy,gen
486,Electro Ball,ELECTRIC,Special,10,—,100%,V
487,Soak,WATER,Status,20,—,100%,V
488,Flame Charge,FIRE,Physical,20,50,100%,V
489,Coil,POISON,Status,20,—,—%,V
490,Low Sweep,FIGHTING,Physical,20,65,100%,V
491,Acid Spray,POISON,Special,20,40,100%,V
492,Foul Play,DARK,Physical,15,95,100%,V
493,Simple Beam,NORMAL,Status,15,—,100%,V
494,Entrainment,NORMAL,Status,15,—,100%,V
495,After You,NORMAL,Status,15,—,∞%,V
496,Round,NORMAL,Special,15,60,100%,V
497,Echoed Voice,NORMAL,Special,15,40,100%,V
498,Chip Away,NORMAL,Physical,20,70,100%,V
499,Clear Smog,POISON,Special,15,50,∞%,V
500,Stored Power,PSYCHIC,Special,10,20,100%,V
501,Quick Guard,FIGHTING,Status,15,—,—%,V
502,Ally Switch,PSYCHIC,Status,15,—,—%,V
503,Scald,WATER,Special,15,80,100%,V
504,Shell Smash,NORMAL,Status,15,—,—%,V
505,Heal Pulse,PSYCHIC,Status,10,—,∞%,V
506,Hex,GHOST,Special,10,65,100%,V
507,Sky Drop,FLYING,Physical,10,60,100%,V
508,Shift Gear,STEEL,Status,10,—,—%,V
509,Circle Throw,FIGHTING,Physical,10,60,90%,V
510,Incinerate,FIRE,Special,15,60,100%,V
511,Quash,DARK,Status,15,—,100%,V
512,Acrobatics,FLYING,Physical,15,55,100%,V
513,Reflect Type,NORMAL,Status,15,—,∞%,V
514,Retaliate,NORMAL,Physical,5,70,100%,V
515,Final Gambit,FIGHTING,Special,5,—,100%,V
516,Bestow,NORMAL,Status,15,—,∞%,V
517,Inferno,FIRE,Special,5,100,50%,V
518,Water Pledge,WATER,Special,10,80,100%,V
519,Fire Pledge,FIRE,Special,10,80,100%,V
520,Grass Pledge,GRASS,Special,10,80,100%,V
521,Volt Switch,ELECTRIC,Special,20,70,100%,V
522,Struggle Bug,BUG,Special,20,50,100%,V
